,word,count
0,minister,26
1,leave,22
2,michael,22
3,prime,21
4,gove,18
5,conservative,14
6,campaign,14
7,party,13
8,leadership,11
9,former,11
10,political,10
11,lead,10
12,mister,10
13,country,9
14,man,8
15,job,8
16,european,8
17,union,8
18,become,8
19,race,8
20,next,8
21,mayor,8
22,london,8
23,stand,7
24,brexit,7
25,right,7
26,run,7
27,people,7
28,secretary,7
29,leader,6
30,politics,6
31,britain,6
32,andrea,6
33,believe,5
34,free,5
35,support,5
36,even,5
37,back,5
38,candidate,5
39,side,5
40,government,5
41,having,5
42,led,5
43,mean,5
44,voted,5
45,campaigner,5
46,justice,5
47,colleague,5
48,decided,5
49,rather,5
