,word
0,prime
1,minister
2,british
3,party
4,e.u.
5,president
6,u.k.
7,here
8,people
9,leave
10,european
11,britain
12,nato
13,brussels
14,next
15,military
16,women
17,theresa
18,brexit
19,war
20,told
21,summit
22,conservative
23,mean
24,trade
25,europe
26,second
27,comments
28,jeremy
29,corbyn
30,investors
31,win
32,referendum
33,report
34,vote
35,union
36,right
37,government
38,united
39,kingdom
40,huge
41,make
42,front
43,why
44,expected
45,m.p.s
46,race
47,experience
48,politicians
49,ban
50,serving
51,combat
52,roles
53,probably
54,rule
55,sure
56,fact
57,real
58,immigration
59,course
60,thousand
61,troops
62,fear
63,thinking
64,alliance
65,election
66,didn't
67,political
68,away
69,leaving
70,good
71,king
72,current
73,succeed
74,labour
75,intervention
76,blair
77,difficult
78,future
79,view
80,called
81,secretary
82,missus
83,lead
84,replace
85,woman
86,tendency
87,large
88,international
89,organisations
90,repaying
91,lobbying
92,pact
93,likes
94,obama
95,announce
96,relations
97,infantry
98,poland
